cell,prompt_id,view,treatment,pair_id,winner,first,state_first,state_second,rep,choice,status,pick_winner,tie,pick_first,p_first,p_winner,prompt_tokens,completion_tokens,cached,model,dropped_params,raw,call_id
neutral|full|base,neutral,full,base,1,A,L,p1_B_2021_base,p1_A_2021_base,0,1,ok,0.0,0,1.0,0.9796676458782005,0.020332354121799456,926,1,False,gpt-4o-2024-08-06,,1,5443afda0e653723c5bd19e0
neutral|full|base,neutral,full,base,2,A,W,p2_A_2021_base,p2_B_2021_base,0,1,ok,1.0,0,1.0,0.9914225140794154,0.9914225140794154,920,1,False,gpt-4o-2024-08-06,,1,e35737c2069c0f2ff54487f6
neutral|full|base,neutral,full,base,1,A,W,p1_A_2021_base,p1_B_2021_base,0,1,ok,1.0,0,1.0,0.9996317020774877,0.9996317020774877,926,1,False,gpt-4o-2024-08-06,,1,495ae407e1e900edef76b09f
neutral|full|base,neutral,full,base,2,A,L,p2_B_2021_base,p2_A_2021_base,0,1,ok,0.0,0,1.0,0.5698526514141571,0.4301473485858429,920,1,False,gpt-4o-2024-08-06,,1,7559c6dc2b5fd4e4b0cf1450
neutral|full|base,neutral,full,base,4,A,L,p4_B_2021_base,p4_A_2021_base,0,1,ok,0.0,0,1.0,0.7371581626286833,0.2628418373713167,922,1,False,gpt-4o-2024-08-06,,1,e7847bb7614bc2011dd7028f
neutral|full|base,neutral,full,base,3,A,W,p3_A_2021_base,p3_B_2021_base,0,1,ok,1.0,0,1.0,0.9935117318291662,0.9935117318291662,1057,1,False,gpt-4o-2024-08-06,,1,e4a182cf240c248a6f3c1219
neutral|full|base,neutral,full,base,3,A,L,p3_B_2021_base,p3_A_2021_base,0,1,ok,0.0,0,1.0,0.9173026652376182,0.08269733476238184,1057,1,False,gpt-4o-2024-08-06,,1,e08a21527276ee82d670ece9
neutral|full|base,neutral,full,base,4,A,W,p4_A_2021_base,p4_B_2021_base,0,1,ok,1.0,0,1.0,0.5926665999540698,0.5926665999540698,922,1,False,gpt-4o-2024-08-06,,1,6a8ff4bcbeba6483bec8cba4
neutral|full|base,neutral,full,base,5,A,W,p5_A_2021_base,p5_B_2021_base,0,1,ok,1.0,0,1.0,0.9996485616874979,0.9996485616874979,1174,1,False,gpt-4o-2024-08-06,,1,40189fedcb18007269cd499d
neutral|full|base,neutral,full,base,5,A,L,p5_B_2021_base,p5_A_2021_base,0,1,ok,0.0,0,1.0,0.9905874117062532,0.009412588293746804,1174,1,False,gpt-4o-2024-08-06,,1,172251790bfb0928d6a162ca
